,property_code,property_name
0,68766,Mali Mali Safari Lodge
1,66456,The Bush Hut
2,32225,Leadwood Tree Safari Lodge
3,78284,The Hidden Valley
4,50183,Kingfisher Creek Cottage
5,71287,Leopard's Lair Bush Lodge
6,92360,Rhino's Rest Luxury Home
7,69133,Kokkariba Gastehuis
8,24912,Mawusi Bush Lodge
9,75955,11 Raptors Lodge
10,55582,Rooibos Luxury Bush Cottage
11,103544,Impala Cottage
12,15129,Blyde River Cabin
13,77444,Safari Moon Luxury Bush Lodge
14,4434,African Rock Lodge
15,82770,Mountain View Safari Lodge
16,7311,Raptors Lodge Accommodation
17,7225,BushGlam Luxury Holiday Home
18,69560,Impala Bush Stay
19,82250,Geminthebush Lodge
20,45853,Woodpecker Lodge
21,68121,Igugu Lodge
22,12079,Nyaleti Lodge and Villa
23,23828,Tshukudu Game Lodge
24,35789,Switsongo Boutique Bed and Breakfast
25,36023,Bushbaby River Lodge
26,93026,Larima Bush Retreat
27,83378,Fairfarren
28,106464,Little 5 Camp
29,58466,Warthogs Rest
30,92035,Aerotel
31,87939,Maroelani Reserve
32,56582,At Rest Bushstay
33,102938,Nkanyi Wildlife House and Cottage
34,16343,Loerie Guest House
35,80784,Khiza Bush Retreat
36,37627,Mushi Maningi
37,82141,Sicklebush Suite Romantic Getaway
38,1784,Mist of Gold
39,101540,13 Raptors Lodge
40,11221,Hoedspruit Wildlife Estate 266 (Indlovu Lodge)
41,76032,Knob Thorn
42,90245,Wildheart Safari Accommodation
43,28534,Do-Drop-In
44,70423,Ekuthuleni Hippo View Chalet
45,40563,Hatbrooke Lodge
46,26810,Raptors Wildlife Escape 2 and 48
47,73364,444 on Taaibos
48,53633,Call of the Wild Lodge
49,91251,African Flair Boutique Safari Lodge
50,41204,The Bush House
51,105969,Tomo Safari Lodge
52,42620,Wild Dog Guest Lodge
53,25483,The Belgium Inn
54,58076,Bushwillow Private Villa
55,45538,Ekuthuleni River Front Chalets
56,104663,Nzenga Lodge
57,98718,Braai Safaris Lodge
58,99543,African Olive
59,65850,The Cottage
60,102382,Ingwe Bush Lodge
61,69906,Lindanda Luxury Lodge
62,14906,Blyde Mountain Country House
63,25409,The Island River Lodge
64,16293,Clivia Cottage
65,37768,eKhaya Bush Villa
66,77772,The Baobab
67,45319,Maya Manor
68,3536,Blyde River Wilderness Lodge
69,84489,Giraffe and Zebra Lodge
70,98480,Africa House
71,75763,Ukuthula Bush Lodge
72,75891,Sentosa Place
73,60712,Rafiki Bush Lodge
74,92561,Buhala@411
75,22672,Woodlands Bush Lodge HWE
76,75865,Ku Sungula Safari Lodge
77,56602,Blyde River Log House
78,96623,Bundox River Villas
79,91848,UmnDeni Africa
80,99540,Hoedspruit Bush Cottage
81,80640,Greenfire Game Lodge
82,11471,Bundox Safari Lodge
83,63534,Swiblati Lodge
84,80799,Ntoma House
85,80208,Thornhill Guest House
86,79588,Bundox Explorer Camp
87,10596,Tambuzi - Kruger Bush Camp
88,102439,Villa Landman
89,98714,Villa Tall Horse
