,property_code,property_name,property_rating
0,68766,Mali Mali Safari Lodge,92
1,17134,Adelpragt Guest House,94
2,70695,The Inn on Robbers Pass,94
3,66456,The Bush Hut,96
4,32225,Leadwood Tree Safari Lodge,92
5,39519,Poinsettia Family Cottage,96
6,27780,Bona Ntaba Tree House Lodge,92
7,14443,21 Hazey River Country Estate,92
8,4162,Lisbon Eco Lodge,96
9,78284,The Hidden Valley,96
10,50183,Kingfisher Creek Cottage,10
11,63512,Round Here Self-catering Holiday Home,92
12,71287,Leopard's Lair Bush Lodge,98
13,5109,Sabie Self-Catering Apartments,92
14,92360,Rhino's Rest Luxury Home,96
15,69133,Kokkariba Gastehuis,98
16,15783,Bambuu Lakeside Lodge,94
17,24912,Mawusi Bush Lodge,98
18,75955,11 Raptors Lodge,96
19,12767,Aan de Vliet Holiday Resort,92
20,47546,Rivendell Trout Estate,98
21,984,Mogodi Lodge,90
22,55582,Rooibos Luxury Bush Cottage,98
23,77973,The Zarafa,96
24,2164,Tatenda Guesthouse,94
25,86851,49 on Main,92
26,78304,Kruger Mountain Tented Camp,86
27,1940,Wild Forest Inn,94
28,36648,Cuckoo Ridge Country Retreat,94
29,2266,Shikwari Nature Reserve,84
30,86950,Wisteria,94
31,26908,Thandamanzi Self-catering,94
32,103544,Impala Cottage,
33,15129,Blyde River Cabin,94
34,71901,Le Soleil,98
35,16162,Dublin Guest Lodge,90
36,28932,Hazyhaven Guest House,90
37,85806,Waterval Self-catering Holiday Home,98
38,92303,Four Seasons Apartment,90
39,3467,Tsanana Log Cabins & Mulberry Lane Suites,86
40,56898,Parsons Hilltop Safari Camp,98
41,16075,AM Lodge,
42,77444,Safari Moon Luxury Bush Lodge,10
43,4434,African Rock Lodge,98
44,6050,Nsele Safari Lodge,
45,83000,Mona Cottage,98
46,9760,Elephant's Nest,94
47,82770,Mountain View Safari Lodge,96
48,425,Kuname Lodge,
49,4500,Little Carthage,94
50,7254,Swallows House,96
51,7311,Raptors Lodge Accommodation,90
52,7225,BushGlam Luxury Holiday Home,94
53,32702,Tjimaka,90
54,7141,Cambalala Kruger Park Lodge,96
55,19492,Sabie Star Chalets,94
56,16439,Rustique,92
57,41258,Sunset Lodge & Safaris,82
58,73484,Baobab Tent Camp,98
59,5679,Khaya Ndlovu Safari Manor,92
60,2066,Bohm's Zeederberg Country House,86
61,60344,The Woodsman B&B,84
62,68242,Hazyview Bogarts Valley,10
63,18634,Amilalu,94
64,76244,Impala Self-catering Chalets,96
65,90359,Eagle Creek Resorts,84
66,69560,Impala Bush Stay,98
67,16464,Hops Hollow Country House,92
68,3196,Sabaan Holiday Resort,90
69,82250,Geminthebush Lodge,94
70,34405,Ulwazi Rock Lodge,96
71,33654,Buffaloland Safaris - Nyati Pools Camp,98
72,7103,The Shoe Guest House,84
73,45853,Woodpecker Lodge,10
74,96734,Phomola Manor Holiday Home,
75,4225,Hazyview Adventure Backpackers,82
76,8979,Manor Guest House Lydenburg,92
77,88356,Casart Game Lodge,
78,32021,Mountain View Holiday Home,88
79,3089,Bananien Lodge,90
80,17502,Kloofsig Holiday Cottages,76
81,68121,Igugu Lodge,10
82,17620,Villa Afriq,94
83,4017,Floreat Riverside Lodge,76
84,34451,Becks Safari Lodge,
85,23828,Tshukudu Game Lodge,88
86,12079,Nyaleti Lodge and Villa,10
87,22053,Thornhill Safari Lodge,86
88,37681,Bergsig Sabie Self-Catering,94
89,14169,Sabi River Guesthouse,96
90,92051,Anna Katarina,92
91,33662,Moholoholo Forest Camp,
92,36023,Bushbaby River Lodge,98
93,33884,"Kruger, Balule - Tulani Manor Lodge",98
94,4533,Highgrove House,10
95,33652,Buffaloland Safaris - Giraffe Camp,62
96,106464,Little 5 Camp,
97,69771,Kingfisher Creek Lodge,96
98,94379,The Calm Views Holiday Home,96
99,74390,Salela Farm,10
100,90340,Sabi Falls Accommodation,72
101,427,Thaba Tsweni Lodge,92
102,15788,Mackers,88
103,5762,Gecko Lodge,88
104,35789,Switsongo Boutique Bed and Breakfast,10
105,75203,The Sabie Town House Guest Lodge,94
106,14821,Villa Rostrata-on-Lake,92
107,16684,Maninghi Lodge,96
108,46281,Leopard Rock Lodge,78
109,103248,Abaloo Woonstel 1,
110,996,Log Cabin & Settlers Village,84
111,17767,Bushwillow,92
112,44620,Chillin Thyme,92
113,85497,House on Blyde,96
114,93026,Larima Bush Retreat,96
115,47766,donum ex Deo,96
116,47242,Yorkdale Cabin,10
117,33205,A Pilgrims Rest,98
118,83378,Fairfarren,98
119,601,Jabulani Safari,
120,69016,Makuwa Safari Lodge,
121,5357,LittleBush Private Lodge,70
122,85851,SleepOver Orpen Gate,96
123,92035,Aerotel,98
124,58466,Warthogs Rest,92
125,43812,Viewpoint Lodge & Safari Tours,68
126,73001,Casablanca's - A Private Farm Stay,98
127,71615,Fatties and Monies Guesthouse,76
128,103947,Gwenyn,
129,61640,Elephant Rock Villa,94
130,87939,Maroelani Reserve,10
131,56582,At Rest Bushstay,92
132,89518,Heartland Self-catering Accommodation,96
133,16343,Loerie Guest House,84
134,38407,Makumu Private Game Lodge,10
135,60814,Little Pilgrims Boutique Hotel,
136,20945,Kingwoody Lodge,92
137,56965,Pilgrims Hut,96
138,10078,Manna,96
139,49006,Bergdale Cottages,98
